id;class;holiday;weekends;time
603;0;0;1;6
604;0;0;1;5
605;0;0;1;5
606;0;0;1;4
607;0;0;1;3
608;0;0;1;7
609;0;0;1;6
610;0;0;1;6
611;0;0;1;5
612;0;0;1;4
613;0;0;1;3
614;0;0;0;6
615;0;0;0;6
616;0;0;0;5
617;1;0;0;4
618;0;0;0;3
619;0;0;0;7
620;0;0;0;6
621;0;0;0;5
622;0;0;0;4
623;0;0;0;3
624;0;0;1;7
625;0;0;1;6
626;0;0;1;6
627;0;0;1;5
628;0;0;1;5
629;0;0;1;4
630;0;0;1;4
631;0;0;1;3
632;0;0;1;7
633;0;0;1;6
634;0;0;1;6
635;0;0;1;5
636;0;0;1;5
637;0;0;1;4
638;0;0;1;3
639;0;0;1;3
640;0;0;1;7
641;0;0;1;6
642;0;0;1;6
643;0;0;1;5
644;0;0;1;5
645;0;0;1;4
646;0;0;1;4
647;0;0;1;3
648;0;0;1;7
649;0;0;1;6
650;0;0;1;6
651;1;0;1;5
652;0;0;1;5
653;0;0;1;4
654;0;0;1;3
655;0;0;1;7
656;0;0;1;6
657;0;0;1;5
658;0;0;1;5
659;0;0;1;4
660;0;0;1;3
661;0;0;0;6
662;0;0;0;5
663;0;0;0;4
664;0;0;0;3
665;0;0;0;7
666;0;0;0;6
667;1;0;0;6
668;0;0;0;5
669;0;0;0;4
670;0;0;0;3
671;0;0;1;7
672;0;0;1;6
673;0;0;1;6
674;0;0;1;5
675;0;0;1;4
676;0;0;1;3
677;0;0;1;7
678;0;0;1;6
679;0;0;1;5
680;0;0;1;4
681;1;0;1;3
682;0;0;1;7
683;0;0;1;6
684;0;0;1;6
685;0;0;1;5
686;0;0;1;5
687;0;0;1;4
688;0;0;1;3
689;0;0;1;7
690;0;0;1;6
691;0;0;1;6
692;0;0;1;5
693;0;0;1;4
694;0;0;1;4
695;0;0;1;7
696;0;0;1;6
697;0;0;1;6
698;1;0;1;5
699;0;0;1;4
700;0;0;1;3
701;1;0;0;5
702;0;0;0;5
703;0;0;0;4
704;0;0;0;7
705;1;0;0;5
706;0;0;0;4
707;1;0;0;3
708;0;0;1;7
709;0;0;1;6
710;0;0;1;6
